source_record_id,category,normalization_status,resume_excerpt,top_occ_candidates,top_skill_candidates,occupation_esco_id,skill_esco_id,annotator_notes
10344379,ADVOCATE,success,"Summary Administrative support professional with experience working in a fast past environment, demanding strong organizational, technical and interpersonal skills. Trustworthy, ethical and discreet, committed to superior Leadership, customer service, and technical support while working as an individual or in a team environment. Confident and poised in interaction with individuals at all levels. Detailed oriented resourceful in completing projects on time and able to multi-task effectively. Capa","1:customer service representative [http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7] (exact,1.0000) || 2:welder [http://data.europa.eu/esco/occupation/7aedaa07-3884-4c5b-88f9-80997b2aa54b] (fuzzy,0.9800) || 3:client relations manager [http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba] (alt_label,0.9650) || 4:lawyer [http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53] (alt_label,0.9500) || 5:justice of the peace [http://data.europa.eu/esco/occupation/f634ce9b-68a5-4a8a-af4a-ed13fc0deba9] (alt_label,0.9500) || 6:after-sales service technician [http://data.europa.eu/esco/occupation/98e58946-3227-4f6c-a5d1-5892fe76883d] (fuzzy,0.9500) || 7:medical device engineering technician [http://data.europa.eu/esco/occupation/30641348-f9f2-4fe5-ab8c-fe6ff9931a54] (fuzzy,0.9200) || 8:meteorology technician [http://data.europa.eu/esco/occupation/0d7ae791-653e-4297-9f61-8bad87f61d57] (fuzzy,0.9200) || 9:fruit production team leader [http://data.europa.eu/esco/occupation/5aeaea2f-6585-4d3d-8f3e-1fdd9903aa32] (fuzzy,0.9200) || 10:production supervisor [http://data.europa.eu/esco/occupation/40517ed4-2769-4283-a15b-4b0d939bd2d3] (fuzzy,0.8912)","1:blueprints [http://data.europa.eu/esco/skill/d1072655-88ce-4445-8803-e6273da273e7] (exact,1.0000) || 2:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 3:logistics [http://data.europa.eu/esco/skill/e843973c-23dd-416a-8a9c-9e89512542fb] (exact,1.0000) || 4:supply chain management [http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c] (exact,1.0000) || 5:manage supplies [http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99] (alt_label,0.9500) || 6:analyse supply chain strategies [http://data.europa.eu/esco/skill/96d549bb-3e62-4c45-92a7-f114df089581] (alt_label,0.9500) || 7:soldering techniques [http://data.europa.eu/esco/skill/0bb4b474-da3a-45ce-9de3-0c964d84e73f] (alt_label,0.9500) || 8:join metals [http://data.europa.eu/esco/skill/29d762da-1711-4a3c-b424-f0a404f4bf2d] (alt_label,0.9500) || 9:troubleshoot [http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40] (alt_label,0.9500) || 10:analyse call centre activities [http://data.europa.eu/esco/skill/3bb6f78f-24f3-4799-b247-91a0c4bf5d81] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,http://data.europa.eu/esco/skill/d1072655-88ce-4445-8803-e6273da273e7;http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc,
10527994,TEACHER,success,"SUBSTITUTE TEACHER Skills Outlook, Excel, Word, PowerPoint, QuickBooks and OneNote Experience 09/2016 to Current Substitute Teacher Company Name － City , State Design learning environment to meet educational development objectives. Responsible for classroom schedule, subject matter, selection of materials and media, development of learning activities and documentation of plans. Establish positive relationships with students, parents, fellow teachers and school administrators/staff. Provide regul","1:politics lecturer [http://data.europa.eu/esco/occupation/c593ded7-2e97-44a5-a5f3-f6115ff98233] (alt_label,0.9500) || 2:welder [http://data.europa.eu/esco/occupation/7aedaa07-3884-4c5b-88f9-80997b2aa54b] (alt_label,0.9500) || 3:laser beam welder [http://data.europa.eu/esco/occupation/c81af273-1112-4b3f-a2a5-b85b1290ae22] (alt_label,0.9500) || 4:sales support assistant [http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100] (alt_label,0.9500) || 5:stand-in [http://data.europa.eu/esco/occupation/1bb7c072-38c8-430a-b943-76bfa312a5f4] (fuzzy,0.9200)","1:design floor [http://data.europa.eu/esco/skill/122c4641-027e-4add-888d-de7de0122d43] (fuzzy,0.9200) || 2:prepare roofing materials [http://data.europa.eu/esco/skill/08f6ffcf-4d86-43fe-a94e-f216de331f98] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/c593ded7-2e97-44a5-a5f3-f6115ff98233,http://data.europa.eu/esco/skill/122c4641-027e-4add-888d-de7de0122d43;http://data.europa.eu/esco/skill/08f6ffcf-4d86-43fe-a94e-f216de331f98,
10953078,AGRICULTURE,success,"RN STAFF NURSE Professional Experience RN Staff Nurse August 2008 to April 2014 Company Name － City , State Participate in multidisciplinary plan of care. Follow Best Practice Protocols, Evidence based practice as well as patient-centered and team-based care. Identify barriers to successful treatment and share with team. Monitor,measure and report/document progress of interventions and outcomes. Timely and effective communication of newly implemented changes to unit based methods of practice. Ac","1:administrative assistant [http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652] (exact,1.0000) || 2:secretary [http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba] (alt_label,0.9500) || 3:statistical assistant [http://data.europa.eu/esco/occupation/d2e63d7e-2605-4af1-bb7d-b1ed9ad08825] (alt_label,0.9500) || 4:mine manager [http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada] (fuzzy,0.9350) || 5:accommodation manager [http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae] (fuzzy,0.9200)","1:economics [http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa] (alt_label,0.9500) || 2:communication [http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7] (fuzzy,0.9200) || 3:discern written communication [http://data.europa.eu/esco/skill/0e161427-3369-47c0-8669-9e226207f6d0] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa;http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,
11152490,AUTOMOBILE,success,"DEPUTY PRINCIPAL Executive Profile Results-oriented and resourceful education professional with proven ability to effectively develop and implement educational strategies, policy and practices that improve student learning outcomes and benefit all stakeholders. Strengths in strategic planning, policy development, budget management, process evaluation, program development and grant management. Excellent at building relationships and managing by influence. Comprehensive analytical, strategic think","1:financial fraud examiner [http://data.europa.eu/esco/occupation/a04eedcf-8424-475a-8dc5-f30a9da4b151] (alt_label,0.9500) || 2:headteacher [http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7] (fuzzy,0.9200) || 3:video and motion picture director [http://data.europa.eu/esco/occupation/1a7fb683-6544-4442-b54c-ec72ef468ff0] (fuzzy,0.9200) || 4:sport facility manager [http://data.europa.eu/esco/occupation/825ab049-2f0c-4acf-b402-9c6bb51acca2] (fuzzy,0.9200) || 5:web developer [http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d] (fuzzy,0.9200) || 6:resource manager [http://data.europa.eu/esco/occupation/9f12704c-5e6c-47b0-a866-3b92663e6a4b] (fuzzy,0.9200) || 7:human resources manager [http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77] (fuzzy,0.8996)","1:Adobe Photoshop [http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0] (fuzzy,0.9200) || 2:graphics editor software [http://data.europa.eu/esco/skill/a71577b2-7550-4222-88ee-dcbd2d881516] (fuzzy,0.9200) || 3:use microsoft office [http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535] (fuzzy,0.9200) || 4:iOS [http://data.europa.eu/esco/skill/ce26e71f-2d47-474e-89b6-7920931ac4fc] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/a04eedcf-8424-475a-8dc5-f30a9da4b151,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0;http://data.europa.eu/esco/skill/a71577b2-7550-4222-88ee-dcbd2d881516,
11169163,AVIATION,success,"FIELD PROJECT SUPERVISOR Summary Administrative aviation logistics professional with 26 years' experience working in the military sector including 20 years' operating in a supervisory position. Tracked and managed U.S. Navy and Marine Corps aeronautical logistics assets performing above and beyond the requirements of the Military Occupational Specialty (6046/6047). Additional roles include management, personnel development, and quality assurance. Outstanding leader and team builder; established ","1:oil refinery control room operator [http://data.europa.eu/esco/occupation/217e7ae2-605d-4225-afd2-6319c2408116] (fuzzy,0.9200) || 2:sergeant [http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031] (fuzzy,0.9200)","1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 2:logistics [http://data.europa.eu/esco/skill/e843973c-23dd-416a-8a9c-9e89512542fb] (exact,1.0000) || 3:strategic planning [http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2] (exact,1.0000) || 4:manage logistics [http://data.europa.eu/esco/skill/953c0b65-537a-42fe-a90b-26cd36c64361] (alt_label,0.9500) || 5:SAP Data Services [http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4] (alt_label,0.9500) || 6:project configuration management [http://data.europa.eu/esco/skill/ccb2e5f2-4279-48fd-9d85-a1db42ff1e13] (fuzzy,0.9200) || 7:tools for software configuration management [http://data.europa.eu/esco/skill/9d2e926f-53d9-41f5-98f3-19dfaa687f3f] (fuzzy,0.9200) || 8:supervise data entry [http://data.europa.eu/esco/skill/f399a9c1-be41-4117-bf86-a64b503c4cfd] (fuzzy,0.9200) || 9:maintain data entry requirements [http://data.europa.eu/esco/skill/88564d2d-2dc9-4789-864a-f9cb73f389ec] (fuzzy,0.9200) || 10:analyse information systems [http://data.europa.eu/esco/skill/ed5bbc64-7017-4e2e-b44e-65df88013a84] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/217e7ae2-605d-4225-afd2-6319c2408116,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/e843973c-23dd-416a-8a9c-9e89512542fb,
11188218,ADVOCATE,success,"CUSTOMER ADVOCATE Career Overview Objective To secure an Administrative Specialist/Office Manager position and use my expertise and proven skills in order to positively contribute to the efficient operation as well as the reputation of the business Ability Summary Outstanding customer service skills: proven success in client needs assessment, providing reassurance and customized solutions, and ensuring highest level of customer satisfaction attainable. Technologically savvy: proficient in Micros","1:lawyer [http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53] (alt_label,0.9500) || 2:justice of the peace [http://data.europa.eu/esco/occupation/f634ce9b-68a5-4a8a-af4a-ed13fc0deba9] (alt_label,0.9500) || 3:legal administrative assistant [http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7] (alt_label,0.9500) || 4:court jury coordinator [http://data.europa.eu/esco/occupation/76884a72-d8b8-4819-bd40-71d6420a9a42] (alt_label,0.9500)","1:accounting [http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b] (fuzzy,0.9200) || 2:troubleshoot [http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b;http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40,
11378657,HEALTHCARE,success,"HEALTHCARE RECRUITER Professional Summary A highly ambitious, customer service oriented business professional, with experience in human resources, customer service and administrative support. Expertise in client development and needs assessments. My goal is to obtain a challenging and rewarding career opportunity, where my administrative, human resources, and customer service skills will be fully utilized. I am team oriented, professional, and focused - I look forward to having an opportunity to","1:human resources officer [http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb] (fuzzy,0.8460)","1:radiology [http://data.europa.eu/esco/skill/30281a0e-a82a-4d13-bd74-4b0fd9964e02] (exact,1.0000) || 2:human resource management [http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba] (alt_label,0.9500) || 3:use microsoft office [http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535] (fuzzy,0.8214) || 4:use word processing software [http://data.europa.eu/esco/skill/81633a44-f1db-4a01-a940-804c6905e330] (fuzzy,0.7957) || 5:manage administrative systems [http://data.europa.eu/esco/skill/77e7cb08-2c6f-42ab-881b-b34b2318acbe] (embedding,0.5880)",http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,http://data.europa.eu/esco/skill/30281a0e-a82a-4d13-bd74-4b0fd9964e02;http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba,
11555549,ARTS,success,"STUDENT TEACHER Summary Visual Arts Specialist with 11 years experience in elementary art education. Demonstrated skill in individualizing instruction based on students' needs and interests. Highlights Adobe Creative Cloud: Illustrator, InDesign, Photoshop, Muse Microsoft Office: Word, Excel, PowerPoint WordPress iMovie Ohio Teaching Licensure, Visual Arts, PK-12 Experience Company Name October 2003 Student Teacher City , State Designed and implemented daily lesson plans based on Oak Hills Schoo","1:visual arts teacher [http://data.europa.eu/esco/occupation/72bcb223-da77-4ed5-a03a-796fd5ece728] (exact,1.0000) || 2:politics lecturer [http://data.europa.eu/esco/occupation/c593ded7-2e97-44a5-a5f3-f6115ff98233] (fuzzy,0.9200)","1:Adobe Illustrator [http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326] (fuzzy,0.9200) || 2:WordPress [http://data.europa.eu/esco/skill/6d289e8b-2cc1-4eda-ab1f-ad1090ef98f0] (fuzzy,0.9200) || 3:assess your competencies in leading community arts [http://data.europa.eu/esco/skill/ff755c48-8597-4735-98ef-bc6081072c86] (fuzzy,0.9200) || 4:use microsoft office [http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535] (fuzzy,0.9200) || 5:Microsoft Access [http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e] (fuzzy,0.9200) || 6:use word processing software [http://data.europa.eu/esco/skill/81633a44-f1db-4a01-a940-804c6905e330] (fuzzy,0.8050)",http://data.europa.eu/esco/occupation/72bcb223-da77-4ed5-a03a-796fd5ece728,http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326;http://data.europa.eu/esco/skill/6d289e8b-2cc1-4eda-ab1f-ad1090ef98f0,
11981094,ENGINEERING,success,"SOFTWARE ENGINEERING MANAGER Summary Experienced software engineer, and hands-on engineering manager with 20+ years of product development experience in broadcast media, and 10+ years of experience in leading development teams (20+ engineers), hiring (10+ offers, 40+ interviews), HR personnel procedures, performance reviews, and project transitions. Experience 09/2009 to Current Software Engineering Manager Company Name － City , State Visual C++, Windows, OOP, STL, WinAPI, MFC, threads, ATL, IPC","1:software developer [http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1] (alt_label,0.9950) || 2:foundry manager [http://data.europa.eu/esco/occupation/0552ff45-b282-455c-b431-fb05a0e00801] (fuzzy,0.9200) || 3:maintenance and repair engineer [http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff] (fuzzy,0.9200) || 4:headteacher [http://data.europa.eu/esco/occupation/e1587bbb-2d4e-4726-839a-7f4895c440e7] (fuzzy,0.9200)","1:C++ [http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f] (exact,1.0000) || 2:JavaScript [http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7] (exact,1.0000) || 3:C# [http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a] (exact,1.0000) || 4:use content management system software [http://data.europa.eu/esco/skill/56a10e3e-c9e7-4d39-b6f1-6013398fcb3a] (fuzzy,0.9200) || 5:framework for a safety management system [http://data.europa.eu/esco/skill/81672802-5463-4676-87aa-3d0f7d8d4f8e] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f;http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,
12021752,BANKING,success,"SENIOR INVESTMENT BANKING SALES ANALYST Summary To obtain a sales position utilizing my sales, leadership, consultative, and strategic thinking strengths. Experience Senior Investment Banking Sales Analyst May 2013 to Current Company Name － City , State 2014 Quota Attainment - 195% Outside sales of Investment Banking solutions including financing, mergers, and acquisitions Closed over $70 Million in strategic Investment Banking solutions to the renewable energy vertical Strategically partnered w","1:financial analyst [http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c] (exact,1.0000) || 2:investment analyst [http://data.europa.eu/esco/occupation/b7f47c25-bdf3-42fa-a68e-ad32754b2dba] (fuzzy,0.9500) || 3:technical sales representative in agricultural machinery and equipment [http://data.europa.eu/esco/occupation/2d6a1cc1-cd13-42c5-a2b1-f0183bd0d253] (fuzzy,0.9200) || 4:technical sales representative in chemical products [http://data.europa.eu/esco/occupation/bf2ca3bb-5fa5-41d9-a039-949cad61616d] (fuzzy,0.9200)","1:financial statements [http://data.europa.eu/esco/skill/4a460161-eaea-4fe2-bd0e-164ccc635be1] (exact,1.0000) || 2:investment banking [http://data.europa.eu/esco/skill/49047409-9307-4b41-9b04-a9615f049044] (exact,1.0000) || 3:analyse the credit history of potential customers [http://data.europa.eu/esco/skill/afe9c5d2-e8bd-4377-9d2d-49b9589f05f9] (fuzzy,0.9200) || 4:prepare real estate contract [http://data.europa.eu/esco/skill/f1efe8d2-42b2-4fba-999f-2409f7685221] (fuzzy,0.9200) || 5:mortgage loans [http://data.europa.eu/esco/skill/a727b46f-880a-4acb-9138-b7531b9d4121] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,http://data.europa.eu/esco/skill/4a460161-eaea-4fe2-bd0e-164ccc635be1;http://data.europa.eu/esco/skill/49047409-9307-4b41-9b04-a9615f049044,
